"image","caption","entities","relations"
"3772.png","A diagram showing a comparison between a healthy eye and an eye with glaucoma, highlighting the internal structures and changes in pressure.Its title is: healthy eye.","healthy eye; sclera; retina; vitruous body; lens; increased intraocular pressure; aqueous humor; cornea; iris; ciliary muscle; ciliary muscle; retina; vitruous body; lens; aqueous humor; cornea; iris; eye with glaucoma; sclera; image of Ciliary body; image of Ciliary body","sclera → image of Ciliary body; retina → image of Ciliary body; vitruous body → image of Ciliary body; lens → image of Ciliary body; aqueous humor → image of Ciliary body; cornea → image of Ciliary body; iris → image of Ciliary body; ciliary muscle → image of Ciliary body; ciliary muscle → image of Ciliary body; retina → image of Ciliary body; vitruous body → image of Ciliary body; lens → image of Ciliary body; aqueous humor → image of Ciliary body; cornea → image of Ciliary body; iris → image of Ciliary body; eye with glaucoma → image of Ciliary body; sclera → image of Ciliary body"
"3773.png","A diagram showing the human digestive system.","stomach; liver; colon (shaded); small intestine; rectum; anus; image of Digestive system","stomach → image of Digestive system; liver → image of Digestive system; colon (shaded) → image of Digestive system; small intestine → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system"
"3774.png","A diagram showing the human digestive system.","mouth; esophagus; stomach; large intestine; colon shaded; rectum; anus; small intestine; image of Digestive system","mouth → image of Digestive system; esophagus → image of Digestive system; stomach → image of Digestive system; large intestine → image of Digestive system; colon shaded → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; small intestine → image of Digestive system"
"3775.png","A diagram showing the human digestive system.","esophagus; liver; small intestine; appendix; rectum; anus; large intestine; pancreas; stomach; image of Diagram","esophagus → image of Diagram; liver → image of Diagram; small intestine → image of Diagram; appendix → image of Diagram; rectum → image of Diagram; anus → image of Diagram; large intestine → image of Diagram; pancreas → image of Diagram; stomach → image of Diagram"
"3776.png","A diagram showing the human digestive system.","mouth; esophagus; stomach; large intestine; small intestine; anus; rectum; colon (shaded); image of Digestive system","mouth → image of Digestive system; esophagus → image of Digestive system; stomach → image of Digestive system; large intestine → image of Digestive system; small intestine → image of Digestive system; anus → image of Digestive system; rectum → image of Digestive system; colon (shaded) → image of Digestive system"
"3777.png","A diagram showing the human digestive system.","liver; small intestine; rectum; esophagus; stomach; colon (shaded); large intestine; anus; image of Digestive system","liver → image of Digestive system; small intestine → image of Digestive system; rectum → image of Digestive system; esophagus → image of Digestive system; stomach → image of Digestive system; colon (shaded) → image of Digestive system; large intestine → image of Digestive system; anus → image of Digestive system"
"3778.png","A diagram showing the human digestive system","mouth; esophagus; stomach; colon (shaded); anus; rectum; small intestine; large intestine; duodenum; image of Digestive system","mouth → image of Digestive system; esophagus → image of Digestive system; stomach → image of Digestive system; colon (shaded) → image of Digestive system; anus → image of Digestive system; rectum → image of Digestive system; small intestine → image of Digestive system; large intestine → image of Digestive system; duodenum → image of Digestive system"
"3779.png","A diagram showing the human digestive system","esophagus; stomach; pancreas; large intestine; small intestine; rectum; anus; appendix; liver; image of Digestive system","esophagus → image of Digestive system; stomach → image of Digestive system; pancreas → image of Digestive system; large intestine → image of Digestive system; small intestine → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; appendix → image of Digestive system; liver → image of Digestive system"
"3780.png","A diagram showing the human digestive system.","stomach ; colon (shaded) ; anus ; small intestine ; rectum ; duodenum ; esophagus ; image of Digestive system","stomach  → image of Digestive system; colon (shaded)  → image of Digestive system; anus  → image of Digestive system; small intestine  → image of Digestive system; rectum  → image of Digestive system; duodenum  → image of Digestive system; esophagus  → image of Digestive system"
"3781.png","A diagram showing the human digestive system","liver; stomach; rectum; anus; appendix; cecum; ileum; ascending colon; decending colon; esophagus; spleen; gallbladder; duodenum; pancreas; transverse colon; jejunum; sigmoid colon; image of Esophagus","liver → image of Esophagus; stomach → image of Esophagus; rectum → image of Esophagus; anus → image of Esophagus; appendix → image of Esophagus; cecum → image of Esophagus; ileum → image of Esophagus; ascending colon → image of Esophagus; decending colon → image of Esophagus; esophagus → image of Esophagus; spleen → image of Esophagus; gallbladder → image of Esophagus; duodenum → image of Esophagus; pancreas → image of Esophagus; transverse colon → image of Esophagus; jejunum → image of Esophagus; sigmoid colon → image of Esophagus"
"3782.png","A diagram showing the human digestive system","buccal cavity; tounge; appendix; stomach; descending colon; pelvic colon; rectum; anal canal; pharynx; oesophagus; gall bladder; liver; transverse colon; jejunum; ascending colon; ileum; image of Digestive system","buccal cavity → image of Digestive system; tounge → image of Digestive system; appendix → image of Digestive system; stomach → image of Digestive system; descending colon → image of Digestive system; pelvic colon → image of Digestive system; rectum → image of Digestive system; anal canal → image of Digestive system; pharynx → image of Digestive system; oesophagus → image of Digestive system; gall bladder → image of Digestive system; liver → image of Digestive system; transverse colon → image of Digestive system; jejunum → image of Digestive system; ascending colon → image of Digestive system; ileum → image of Digestive system"
"3783.png","A diagram showing the human digestive system.","esophagus; stomach; large intestine; duodenum; small intestine:; jejunum; ileum; appendix; anus; rectum; image of Digestive system","esophagus → image of Digestive system; stomach → image of Digestive system; large intestine → image of Digestive system; duodenum → image of Digestive system; small intestine: → image of Digestive system; jejunum → image of Digestive system; ileum → image of Digestive system; appendix → image of Digestive system; anus → image of Digestive system; rectum → image of Digestive system"
